GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
IS,,,,,,,,,,,,,,,,,,,,,,,,2.000,3.000,3.000,3.000,2.430
NO,,,,3.000,3.000,3.000,4.000,4.000,5.000,14.000,13.000,13.000,97.000,97.000,152.000,265.000,284.000,348.000,395.000,423.000,425.000,512.000,705.000,818.000,859.000,867.000,883.000,"1,207.000"
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.000
MK,,,,,,,,,,,,,,,,,,,,,,,,,37.000,37.000,37.000,37.000
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,17.000,25.000
TR,,,,,,,,,9.000,9.000,19.000,19.000,19.000,19.000,19.000,21.000,59.000,146.000,364.000,792.000,"1,320.000","1,729.000","2,261.000","2,760.000","3,630.000","4,503.000","5,751.000","6,516.150"
BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XK,,,,,,,,,,,,,,,,,,,,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,33.750
MD,,,,,,,,,,,,,,,,,,,,,,,,1.000,1.000,1.000,2.000,9.000
UA,,,,,,,,,,,,,,,,65.000,82.000,82.000,83.000,86.000,88.000,146.000,248.000,361.000,411.000,428.000,428.000,465.000
GE,,,,,,,,,,,,,,,,,,,,,,,,,,,20.000,20.000
